3gpp|.3gp
3gpp2|.3g2
adpcm|.adp
applixware|.aw
atom+xml|.atom
atomcat+xml|.atomcat
atomsvc+xml|.atomsvc
avif|.avif
basic|.au
bmp|.bmp
calendar|.ics
ccxml+xml,|.ccxml
cdmi-capability|.cdmia
cdmi-container|.cdmic
cdmi-domain|.cdmid
cdmi-object|.cdmio
cdmi-queue|.cdmiq
cgm|.cgm
css|.css
csv|.csv
cu-seeme|.cu
davmount+xml|.davmount
dssc+der|.dssc
dssc+xml|.xdssc
ecmascript|.es
emma+xml|.emma
epub+zip|.epub
exi|.exi
font-tdpfr|.pfr
g3fax|.g3
gif|.gif
gpx+xml|.gpx
gzip|.gz
h261|.h261
h263|.h263
h264|.h264
html|.html
hyperstudio|.stk
ief|.ief
iges|.igs
ipfix|.ipfix
java-archive|.jar
java-serialized-object|.ser
java-vm|.class
javascript|.js
jpeg|.jpeg
jpm|.jpm
json|.json
ktx|.ktx
ld+json|.jsonld
mac-binhex40|.hqx
mac-compactpro|.cpt
mads+xml|.mads
marc|.mrc
marcxml+xml|.mrcx
mathematica|.ma
mathml+xml|.mathml
mbox|.mbox
mediaservercontrol+xml|.mscml
mesh|.msh
metalink4+xml|.meta4
mets+xml|.mets
midi|.midi
mj2|.mj2
mods+xml|.mods
mp21|.m21
mp2t|.ts
mp4|.mp4
mpeg|.mpeg
msword|.doc
mxf|.mxf
n3|.n3
octet-stream|.bin
oda|.oda
oebps-package+xml|.opf
ogg|.oga
onenote|.onetoc
opus|.opus
patch-ops-error+xml|.xer
pdf|.pdf
pgp-encrypted|.pgp
pgp-signature|.pgp
pics-rules|.prf
pjpeg|.pjpeg
pkcs10|.p10
pkcs7-mime|.p7m
pkcs7-signature|.p7s
pkcs8|.p8
pkix-attr-cert|.ac
pkix-cert|.cer
pkix-crl|.crl
pkix-pkipath|.pkipath
pkixcmp|.pki
plain|.txt
plain-bas|.par
pls+xml|.pls
png|.png
postscript|.ai
prs.btif|.btif
prs.cww|.cww
prs.lines.tag|.dsc
pskc+xml|.pskcxml
quicktime|.qt
rdf+xml|.rdf
reginfo+xml|.rif
relax-ng-compact-syntax|.rnc
resource-lists-diff+xml|.rld
resource-lists+xml|.rl
rfc822|.eml
richtext|.rtx
rls-services+xml|.rs
rsd+xml|.rsd
rss+xml|.rss
rtf|.rtf
sbml+xml|.sbml
